order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,review_creation_date,review_answer_timestamp,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,customer_lat,customer_lng,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,seller_lat,seller_lng
a,a,delivered,1433101639,1531493401,1099233104,1539782566,1541980800,1,aPS,Hx,1560056094,314.25,9.42,1,credit_card,6,125.76,a,2,64476000,1518628048,07ab0a48e96ddceef0830d6e586bb657,29285,sao paulo,RJ,-11.109620581064961,-51.165900483852816,papelaria,38.0,737.0,1.0,4756.0,45.0,27.0,24.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
a,a,delivered,1433101639,1531493401,1099233104,1539782566,1541980800,1,aPS,Hx,1560056094,314.25,9.42,3,credit_card,6,173.59,a,2,64476000,1518628048,07ab0a48e96ddceef0830d6e586bb657,29285,sao paulo,RJ,-11.109620581064961,-51.165900483852816,papelaria,38.0,737.0,1.0,4756.0,45.0,27.0,24.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
d,d,delivered,1539797418,1535996406,17586,1498667112,1540512000,1,avM,Hx,1586465108,261.05,38.75,1,credit_card,7,341.87,d,5,61466400,1540934434,3bd08ce268152ada1de9eccd7d7e0911,19645,belo horizonte,SP,-8.382090900567661,-37.23138868911144,utilidades_domesticas,40.0,641.0,2.0,0.0,41.0,12.0,42.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
DU,DU,delivered,1361937286,1535996406,17586,1539782566,1527120000,1,avM,Hx,1586471708,227.08,34.44,2,credit_card,4,150.5,DU,3,165344400,1439711446,223ab530d4126650969ce8bc7370a21b,88269,jundiai,DF,-25.18017688267941,-48.254277760771494,utilidades_domesticas,40.0,641.0,2.0,0.0,41.0,12.0,42.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
axt,axt,delivered,1355990960,1535996406,1081268902,1265793539,1517961600,1,avM,Hx,1586468799,221.69,41.05,1,voucher,1,275.2,axt,4,89334000,1540503855,78fcceb499ec9008fcecbaad21efefc6,70428,saudades,PI,-16.159393306283512,-48.22073714400817,utilidades_domesticas,40.0,641.0,2.0,0.0,41.0,12.0,42.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
ayX,ayX,delivered,1344397717,1535996406,956744994,1539782566,1524009600,1,avM,Hx,1586471708,254.63,41.42,1,boleto,6,301.72,ayX,4,146977200,1540784500,dcb394f9349ea5bad39f9074f1c06e49,58350,erechim,RS,-20.68737441315948,-44.634587357413245,utilidades_domesticas,40.0,641.0,2.0,0.0,41.0,12.0,42.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
aWH,aWH,delivered,1433532968,1535996406,1114129109,1539782566,1513987200,1,avM,Hx,1586471708,215.47,35.3,1,boleto,0,423.26,aWH,3,61473600,1340518958,f56839656035e071bd0643d95baea825,2291,blumenau,RJ,-26.197167218162843,-46.63297760454986,utilidades_domesticas,40.0,641.0,2.0,0.0,41.0,12.0,42.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
biZ,biZ,delivered,1539797418,1535996406,332265224,1539782566,1533600000,1,avM,Hx,1582330410,222.55,35.92,1,credit_card,2,233.46,biZ,5,123447600,1439312131,c179057f564af5f24ea3d13b24616f19,64911,sao roque,BA,-17.704531189538297,-42.7706731954345,utilidades_domesticas,40.0,641.0,2.0,0.0,41.0,12.0,42.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
bpD,bpD,delivered,1228132098,1535996406,1212487664,1539782566,1519603200,1,avM,Hx,1586463396,256.08,30.08,1,credit_card,1,204.7,bpD,4,62748000,1540815891,f7d86e04c9c498efc7b73a6a1bd44629,60222,carapicuiba,PR,-21.944574608456346,-53.39875844535571,utilidades_domesticas,40.0,641.0,2.0,0.0,41.0,12.0,42.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
bFa,bFa,delivered,1539797418,1535996406,1477290823,1293297941,1518134400,1,avM,Hx,1586473027,294.71,38.16,2,credit_card,5,377.26,bFa,5,61466400,1412969449,caa3a7c589bae86b8ee16aa9396c604e,60586,pindamonhangaba,PR,-13.48068479772702,-47.959581591425724,utilidades_domesticas,40.0,641.0,2.0,0.0,41.0,12.0,42.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
dO,dO,delivered,1539797418,1409524589,1615395,1352675962,1520467200,2,mB,Hx,1586504835,1.29,0.0,1,credit_card,1,35.77,dO,5,61473600,1287993341,6b2af3473a2aef0b5ba7461f97a9494b,2138,santos,SP,-19.03125207262493,-46.84170146234389,construcao_ferramentas_iluminacao,53.0,825.0,4.0,0.0,41.0,3.0,6.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
aC,aC,delivered,1480983762,1535996406,985462872,1429526942,1525737600,1,aIk,Hx,1586483078,371.85,20.06,1,boleto,4,467.54,aC,4,61470000,1540950407,b4159742c6b85f6c1958779782cc4e76,1003,brasilia,SP,-10.517568296342183,-48.681282820430795,industria_comercio_e_negocios,55.0,1900.0,1.0,0.0,7.0,8.0,6.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
aeG,aeG,delivered,1431587742,1535996406,94302711,1103607753,1525132800,1,aIk,Hx,1586452670,351.93,22.66,1,boleto,2,350.4,aeG,5,101772000,1541045970,1267212283399f8294c491fec2b02be9,1003,brasilia,SP,-10.517568296342183,-48.681282820430795,industria_comercio_e_negocios,55.0,1900.0,1.0,0.0,7.0,8.0,6.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
azX,azX,delivered,1539797418,1535996406,1429271766,1539782566,1524614400,1,aIk,Hx,1586464581,350.54,26.06,1,credit_card,7,260.74,azX,5,114321600,1499550216,ad67869b898bbeb8fa7b8cb5f6106b7b,23115,nova iguacu,RJ,-20.941953618189828,-48.579576475944044,industria_comercio_e_negocios,55.0,1900.0,1.0,0.0,7.0,8.0,6.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
azX,azX,delivered,1539797418,1535996406,1429271766,1539782566,1524614400,1,aIk,Hx,1586464581,350.54,26.06,2,boleto,6,256.42,azX,5,114321600,1499550216,ad67869b898bbeb8fa7b8cb5f6106b7b,23115,nova iguacu,RJ,-20.941953618189828,-48.579576475944044,industria_comercio_e_negocios,55.0,1900.0,1.0,0.0,7.0,8.0,6.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
baz,baz,delivered,1539797418,1475140776,17586,1539782566,1535587200,1,vm,Hx,1586452940,190.15,11.99,1,credit_card,2,160.73,baz,5,75369600,1523888282,6809a0e1b9eb9d98b7c4ae5370f3035d,4582,salvador,SP,-23.234194582197205,-43.71655393874925,pet_shop,55.0,689.0,3.0,2100.0,20.0,2.0,22.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
cL,cL,delivered,1539797418,1535996406,1536695308,1539782566,1491955200,2,bpw,Hx,1586471708,458.01,29.62,1,credit_card,9,638.66,cL,1,97916400,1467490697,54e49438764cddd0e54741a77491af03,1003,santa mariana,RJ,-10.517568296342183,-48.681282820430795,esporte_lazer,38.0,93.0,2.0,12059.0,62.0,24.0,37.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
JY,JY,delivered,1539797418,1533378258,1536695308,1472993890,1529452800,2,bpw,Hx,1586471708,469.23,44.09,3,credit_card,3,605.46,JY,4,101336400,1447010164,6e5ae65e6fe7ab42b23fd320e88ea33a,31349,ipatinga,RJ,-18.666920229368653,-42.41635080875403,esporte_lazer,38.0,93.0,2.0,12059.0,62.0,24.0,37.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
JY,JY,delivered,1539797418,1533378258,1536695308,1472993890,1529452800,2,bpw,Hx,1586471708,469.23,44.09,1,boleto,3,577.49,JY,4,101336400,1447010164,6e5ae65e6fe7ab42b23fd320e88ea33a,31349,ipatinga,RJ,-18.666920229368653,-42.41635080875403,esporte_lazer,38.0,93.0,2.0,12059.0,62.0,24.0,37.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
aMm,aMm,delivered,1539797418,1535996406,739959471,1539782566,1539302400,2,bpw,Hx,1586482418,501.73,45.22,1,credit_card,5,659.2,aMm,3,100152000,1541182317,6ced10863313340e26f71088084852bc,31516,campinas,DF,-26.98032431421373,-45.4638014407545,esporte_lazer,38.0,93.0,2.0,12059.0,62.0,24.0,37.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
cL,cL,delivered,1539797418,1535996406,1536695308,1539782566,1491955200,1,axQ,Hx,1586471708,458.01,29.62,1,credit_card,9,638.66,cL,1,97916400,1467490697,54e49438764cddd0e54741a77491af03,1003,santa mariana,RJ,-10.517568296342183,-48.681282820430795,moveis_decoracao,47.0,816.0,1.0,0.0,38.0,2.0,23.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
asU,asU,delivered,1516865273,1300797901,903150278,1370726871,1525478400,1,nF,Hx,1586472715,86.93,20.15,2,boleto,4,72.2,asU,5,61473600,1541076946,1c721d062a04d51d8d3887dca3571cf4,90966,patrocinio,MG,-25.97509697541739,-44.40093481112212,relogios_presentes,55.0,407.0,3.0,841.0,7.0,13.0,6.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
asU,asU,delivered,1516865273,1300797901,903150278,1370726871,1525478400,1,nF,Hx,1586472715,86.93,20.15,2,credit_card,4,54.82,asU,5,61473600,1541076946,1c721d062a04d51d8d3887dca3571cf4,90966,patrocinio,MG,-25.97509697541739,-44.40093481112212,relogios_presentes,55.0,407.0,3.0,841.0,7.0,13.0,6.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
bwf,bwf,delivered,1487760274,1535996406,548292044,1488466060,1512950400,1,aSE,Hx,1586469582,37.87,15.64,1,boleto,3,0.0,bwf,1,61470000,1282493264,b9683d6a646f9b6f7b0a1889d00e3154,52752,sorocaba,RJ,-13.991040514090374,-44.06917922200533,utilidades_domesticas,60.0,1060.0,4.0,2308.0,11.0,31.0,11.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
tz,tz,delivered,1539797418,1535996406,803146266,1282775243,1515283200,1,aiP,Hx,1586471371,292.89,29.93,1,boleto,6,342.22,tz,4,64882800,1540990197,b1ff13ebf017d85788fb63189c1dba6b,38079,praia grande,MG,-13.900849020844607,-44.22523851969218,brinquedos,35.0,1208.0,5.0,0.0,43.0,31.0,19.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
atq,atq,delivered,1539797418,1526549464,625989803,1539782566,1520985600,1,aiP,Hx,1586463201,292.16,40.93,1,boleto,5,374.97,atq,4,88084800,1541097003,598505c01dee5f750170e9fdfeaf1972,50254,itajuba,PR,-23.40058611397513,-48.498924510052916,brinquedos,35.0,1208.0,5.0,0.0,43.0,31.0,19.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
uT,uT,delivered,1249682031,1535996406,103302629,1539782566,1541980800,1,aG,Hx,1581474376,266.62,40.55,2,boleto,0,378.85,uT,5,62737200,1412888778,d806b2a50d10abd760f44162c49eea48,47507,franco da rocha,MG,-23.521986679518122,-43.117866604335106,informatica_acessorios,53.0,778.0,1.0,4126.0,49.0,13.0,19.0,30705,rio de janeiro,SP,-24.657281411670514,-44.15548377168583
