order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_sequential,payment_type,payment_installments,payment_value,review_id,review_score,review_creation_date,review_answer_timestamp,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,customer_lat,customer_lng,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,seller_lat,seller_lng
a,a,delivered,1289258294,1532642590,45988747,1539782566,1533600000,1,yU,Eg,1521546605,0.85,5.13,1,credit_card,4,46.08,a,4,126136800,1399527594,54135b34079cf13a9186095cf661e532,1003,mairipora,SP,-11.109620581064961,-50.33241942510757,informatica_acessorios,48.0,1686.0,5.0,2148.0,31.0,26.0,12.0,28310,curitiba,PR,-25.71228066907689,-45.44229071464074
ale,ale,delivered,1539797418,1535996406,938223732,1409618828,1501200000,1,yU,Eg,1518535068,0.85,4.72,1,voucher,0,18.4,ale,4,72838800,1182232082,2dc0cb58632261b855647284c297f5fe,1003,rio grande,SP,-11.109620581064961,-50.33241942510757,informatica_acessorios,48.0,1686.0,5.0,2148.0,31.0,26.0,12.0,28310,curitiba,PR,-25.71228066907689,-45.44229071464074
asP,asP,shipped,1539797418,1453441230,1293768425,1484199351,1519603200,1,ki,Eg,1504452207,249.37,21.92,1,credit_card,4,454.9,asP,5,61480800,1524089149,75895bb7a9969719015969d1fb7fbc78,63322,vila valerio,RJ,-16.006788653032444,-50.0779029919473,utilidades_domesticas,41.0,1015.0,2.0,0.0,7.0,18.0,6.0,28310,curitiba,PR,-25.71228066907689,-45.44229071464074
gA,gA,delivered,1425606377,1530741527,1501830199,1211139253,1513468800,1,yU,yP,1516700715,0.85,9.89,1,voucher,2,0.0,gA,4,61473600,1478328189,84948505177126fc3996e9f1ef83e631,2839,sao goncalo,SP,-28.14452274569837,-48.07567900948872,informatica_acessorios,48.0,1686.0,5.0,2148.0,31.0,26.0,12.0,1001,curitiba,SP,-21.166029981709205,-40.162942174299936
apD,apD,delivered,1433674710,1240179838,1266970684,1091253561,1525478400,1,wx,yP,1513833096,1.27,25.07,1,boleto,1,113.05,apD,5,61473600,1357310111,122f8b38ffa5173825fedec390c9ff95,27551,sao paulo,RJ,-27.92942644294539,-51.53135822722364,perfumaria,39.0,346.0,1.0,328.0,22.0,15.0,9.0,1001,curitiba,SP,-21.166029981709205,-40.162942174299936
jC,jC,delivered,1376368811,1535996406,738732144,1539782566,1520899200,3,zj,yP,1524914198,12.6,16.08,1,boleto,0,9.88,jC,3,61473600,1432256683,a4de894614ba705c21f2809f9eeec878,3173,aracaju,RJ,-36.39014121181661,-47.07844606181096,informatica_acessorios,49.0,431.0,2.0,2756.0,9.0,17.0,11.0,1001,curitiba,SP,-21.166029981709205,-40.162942174299936
xL,xL,delivered,1539797418,1425741586,890733867,1159720756,1526083200,1,ato,yP,1510735575,55.51,18.28,2,credit_card,3,152.97,xL,5,61484400,1463514757,c0dda51f32fc550867fd99ec415f6b04,76870,sao paulo,PE,-21.958289043819267,-45.734801089765924,automotivo,64.0,298.0,3.0,4904.0,28.0,15.0,40.0,1001,curitiba,SP,-21.166029981709205,-40.162942174299936
jv,jv,delivered,1539797418,1466796082,1065973016,1341560567,1528243200,2,Yj,yP,1518854147,0.96,18.36,1,credit_card,0,69.1,jv,2,61459200,1482320734,8891463bcb1e110ed0cc3eafc7d4c1ee,77344,petropolis,SC,-14.744441950976668,-41.43875365056584,utilidades_domesticas,32.0,410.0,2.0,1276.0,13.0,16.0,6.0,1001,curitiba,SP,-21.166029981709205,-40.162942174299936
adA,adA,delivered,1473873809,1415615104,1536695308,1378977700,1508630400,3,alo,yP,1510968818,0.85,0.2,1,credit_card,3,59.27,adA,4,80769600,1541073281,0367374f0fbf2f07d8dadc86f77b85f8,57043,aracaju,MG,-29.12378777914837,-40.34907150009114,perfumaria,54.0,916.0,3.0,0.0,22.0,23.0,17.0,1001,curitiba,SP,-21.166029981709205,-40.162942174299936
mb,mb,delivered,1369249037,1535996406,17586,1366593602,1541980800,1,yU,zK,1526632806,0.85,0.0,1,credit_card,4,55.51,mb,5,94485600,1466088992,62c485cfd5b04c8030d66cc70649d574,18859,fortaleza,SP,-19.18781776690263,-46.841764373866795,informatica_acessorios,48.0,1686.0,5.0,2148.0,31.0,26.0,12.0,1001,itaquaquecetuba,SP,-21.166029981709205,-40.162942174299936
